numeroclient;referencetitre;montant;objet;dtepcepec;delaimisenligne;finmiseenligne;numerocontrat
005165;202300001643000001;38.07;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001699000001;87.37;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
000400;202300000198000001;400.00;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 12;2023-11-20 00:00:00;60;2024-01-19;00308583
005165;202300001642000001;40.60;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001675000001;26.07;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001697000001;111.36;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
046300;202300000505000001;42.00;REPAS FEVRIER MARS AVRIL MAI JUIN;2023-11-20 00:00:00;60;2024-01-19;00325297
000400;202300000197000001;520.00;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 11;2023-11-20 00:00:00;60;2024-01-19;00308583
005165;202300001619000001;21.64;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001641000001;34.95;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001659000001;52.78;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001672000001;62.64;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001685000001;44.10;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001696000001;19.17;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
046300;202300000497000001;28.96;CANTINE SCOLAIRE JUIN JUILLET 2023;2023-11-20 00:00:00;60;2024-01-19;00325297
046300;202300000503000001;28.96;CANTINE SCOLAIRE JUIN JUILLET 2023;2023-11-20 00:00:00;60;2024-01-19;00325297
000400;202300000188000001;520.00;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 1;2023-11-20 00:00:00;60;2024-01-19;00308583
000400;202300000196000001;500.00;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 10;2023-11-20 00:00:00;60;2024-01-19;00308583
000400;202300000204000001;513.73;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 17;2023-11-20 00:00:00;60;2024-01-19;00308583
005165;202300001618000001;66.78;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001626000001;48.75;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001639000001;73.08;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001654000001;44.16;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001658000001;73.66;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001668000001;60.40;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001671000001;32.56;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001679000001;34.56;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001684000001;79.52;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001692000001;27.84;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001695000001;28.42;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
046300;202300000493000001;185.00;LOCATION SALLE POLYVALENTE 05 MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00325297
046300;202300000495000001;185.00;LOCATION SALLE POLYVALENTE 24 MARS 2023;2023-11-20 00:00:00;60;2024-01-19;00325297
046300;202300000499000001;14.48;CANTINE SCOLAIRE JUIN JUILLET 2023;2023-11-20 00:00:00;60;2024-01-19;00325297
046300;202300000502000001;28.96;CANTINE SCOLAIRE JUIN JUILLET 2023;2023-11-20 00:00:00;60;2024-01-19;00325297
053417;202300000055000001;470.00;RODP 2023 PATRIMOINE AU 31122022;2023-11-20 00:00:00;60;2024-01-19;00326725
053417;202300000058000001;50.00;LOCATION SDF 09.12.23 CHEQUE BP 0002708;2023-11-20 00:00:00;60;2024-01-19;00326725
000400;202300000192000001;467.23;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 6;2023-11-20 00:00:00;60;2024-01-19;00308583
000400;202300000195000001;465.72;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 9;2023-11-20 00:00:00;60;2024-01-19;00308583
000400;202300000200000001;465.72;LOYER JUILLET 2023 - CONTRAT DE BAIL TITRE 13;2023-11-20 00:00:00;60;2024-01-19;00308583
000400;202300000203000001;207.00;LOYER JUILLET 2023 -+ CONTRAT DE BAIL TITRE 16;2023-11-20 00:00:00;60;2024-01-19;00308583
005165;202300001610000001;28.35;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001617000001;60.32;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001621000001;40.60;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001625000001;76.44;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001633000001;32.56;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001638000001;97.44;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001645000001;49.45;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
